City Name,Latitude,Longitude,Elevation (m),Temperature (°C),Land Cover,Population Density (people/km²),Energy Consumption (kWh),Air Quality Index (AQI),Urban Greenness Ratio (%),Health Impact (Mortality Rate/100k),Wind Speed (km/h),Humidity (%),Annual Rainfall (mm),GDP per Capita (USD),Cluster
City_1,49.31208874007339,109.01677366942846,240.75385562019508,16.83517549158022,Water,2717,16065.619100655847,92,28.711427588100506,14.210172518923056,11.382167537271888,70.67193623730057,1586.573011236977,29696.191131927226,2
City_2,-11.001880844630575,-165.24152287126893,1348.580573698589,21.57638933193696,Green Space,2037,10562.356176584906,17,63.17097968318638,11.259446735678065,8.18468852642181,64.72132468965486,2065.057031811689,8105.24408539276,2
City_3,64.54762558404883,136.53934998885296,1074.9916292941032,12.358580517516543,Industrial,5628,25873.15765898425,194,1.0,28.583728379766363,11.963696350576408,47.708108806884496,1523.030958411103,52315.11835743316,1
City_4,35.526245230685504,168.68391047225634,218.54066885165503,21.95233637798467,Green Space,2116,15876.776870484187,37,55.920626557448976,4.765504673001,14.2467267372835,66.1142089251239,1488.721805507562,20068.1653452924,2
City_5,-73.04807738022308,87.17623294503733,1780.1173427731997,2.7217624511367284,Water,441,7413.736644418177,42,27.52827222102052,19.19645820262774,13.514924410771654,63.05072472865649,1823.3352131504344,32450.1048359596,2
City_6,85.61202329461608,-136.8311288950555,332.95744147154903,9.623699910621257,Urban,6735,24442.862825117267,150,1.1546252889176034,30.974822077889925,6.156196414134298,52.55254136256135,1414.700398121042,31304.550221780875,1
City_7,47.005146358263545,110.65532034136328,521.7228620372923,23.06712159766804,Industrial,6058,28788.56731615091,157,1.0,19.52269191874577,7.660664498682326,52.55584510397684,1596.0785917584424,28543.361284485207,1
City_8,51.491574949851696,53.09605534449091,951.0936826665312,16.60701633747011,Industrial,7520,29472.49492389352,190,1.0,25.769836142492785,13.051768773586783,52.94772519858937,1369.2578792275588,15537.407831200717,1
City_9,-66.93954611840175,-58.02252569208712,1635.7492984834237,2.290912649028364,Water,3097,6277.260418866541,54,11.072927779523608,16.518404701981005,6.933684691000902,72.17123503258946,1654.9527819071066,14671.46271585191,2
City_10,-8.93053117879792,138.25099842936004,747.7047358154199,30.173804707398205,Urban,8033,29590.96177929855,176,8.31837768730429,27.72415036463408,1.500558936884004,53.73931436334045,2103.5070104020588,36379.19928729025,1
City_11,-23.25635563813537,23.604007843142227,478.5256965372436,28.78217621267079,Urban,7550,27200.54520625976,160,9.198551392376702,25.814079025986068,17.194135389119833,65.15932541064015,1525.253298518673,16596.32540803193,1
City_12,76.81769799274832,127.05405516698482,423.1678580631872,8.72584097604863,Green Space,2220,16349.881636785773,38,57.44521728564866,13.12549057554758,15.379068062240986,61.54200950395574,1510.9871375536568,14981.688793850792,3
City_13,25.895721614519616,61.24094949032741,478.144081436762,22.9739208223574,Green Space,2518,12900.315082505676,27,54.02077899901676,7.453480958314648,4.527701649478309,63.6888181169514,1621.7415276928432,20732.83850865885,3
City_14,58.09709038874939,-76.13420266622585,2466.9022945688494,5.235732311591829,Urban,12556,41248.84090460516,210,1.0,26.849055273586924,17.009135447300448,52.02696287169458,1331.965495380793,20429.144494591867,1
City_15,-10.185444211080394,171.00673050997312,826.409114267312,33.50541937314442,Industrial,5601,18201.99492640488,118,1.0,15.623128023058165,11.191898327008872,53.1914465808788,1878.9275217420764,17439.619662352736,1
City_16,-49.09703007874016,25.561997258241064,672.584576413932,15.021813180347085,Green Space,4722,19588.53684711675,54,63.056379111899446,10.803786397742613,9.619334801032725,59.5857207584101,1508.9187707317374,20319.985985111787,3
City_17,9.825261662850266,6.031887057525211,1082.9034348810549,28.808623488602755,Industrial,6218,28041.381895803257,168,1.8568440283704195,20.092452380593446,14.179401608331384,57.06378953106451,1756.9982405591427,25573.840851863155,1
City_18,-78.51289390124845,-34.736533828828215,505.87190592543465,10.84046311160706,Industrial,6614,30821.365798473154,188,1.0,28.36031252469458,4.535094622677532,41.51222216302389,1551.533741099646,12628.767092078637,1
